movie_nm,days_over_threshold,max_share,avg_share,max_screen_count,max_audience_acc,first_date,last_date
마이클,6,33.96059331414656,32.63839174465804,1734,778426,2026-05-13,2026-05-20
분노의 질주: 라이드 오어 다이,6,33.66294971596886,32.58637291590737,1731,963809,2023-05-17,2023-05-23
밀수,6,33.05009736236502,31.70579843029905,1932,2224264,2023-07-26,2023-08-01
위키드: 포 굿,6,32.63542066845947,31.05044923685135,1700,596238,2025-11-19,2025-11-25
데드풀과 울버린,6,31.082375478927204,30.683271275866616,1948,1178522,2024-07-24,2024-07-29
군체,5,41.60135564499047,38.92414708012977,2110,2018610,2026-05-21,2026-05-25
하얼빈,5,35.36789297658863,32.99156281656641,2125,2542839,2024-12-24,2024-12-30
프로젝트 헤일메리,5,33.22875816993464,31.090660881243657,1281,1670488,2026-03-24,2026-04-06
싱크홀,5,33.101748095024654,31.743625498700123,1603,1221307,2021-08-13,2021-08-17
노량: 죽음의 바다,4,38.53983853983854,34.881997129515256,2196,2367281,2023-12-20,2023-12-26
언차티드,4,36.8080517613228,32.86001864391651,1536,416569,2022-02-16,2022-02-22
존 윅 4,4,34.481206392077425,31.98231145333818,1532,1268795,2023-04-12,2023-04-24
고질라 VS. 콩,4,34.27551324010711,33.230941519140195,1201,372991,2021-03-25,2021-03-30
파일럿,4,32.04138898632059,30.872967487599617,1956,2047286,2024-08-03,2024-08-06
외계+인 1부,3,36.07734806629834,32.96264199911872,1959,412766,2022-07-20,2022-07-22
올빼미,3,34.189995410738874,32.904655545650435,1490,2651979,2022-11-28,2022-12-13
블랙 아담,3,32.090831191088256,31.090183252519505,1523,457680,2022-10-19,2022-10-24
히트맨2,2,33.58742258218199,31.99716109206402,1410,179685,2025-01-22,2025-01-23
더 마블스,2,32.33431827775433,31.871399496857133,1532,142351,2023-11-08,2023-11-09
결백,2,31.79955877718248,31.15478849605936,1009,365662,2020-06-15,2020-06-16
남산의 부장들,2,30.581961511708787,30.576727829528938,1332,4357111,2020-02-03,2020-02-04
살목지,2,30.47619047619048,30.30642700058346,1312,862317,2026-04-13,2026-04-14
서복,1,34.62791280380857,34.62791280380857,1382,46710,2021-04-15,2021-04-15
검은 수녀들,1,32.92393026941363,32.92393026941363,1662,181384,2025-01-24,2025-01-24
아마존 활명수,1,30.954374215152782,30.954374215152782,1479,106842,2024-10-30,2024-10-30
