year,days_with_any_movie_over_threshold,max_single_share
2020,143,61.737523105360445
2021,149,65.56647940074907
2022,180,62.2743195904069
2023,104,48.94977168949772
2024,151,62.18166383701188
2025,128,51.47527910685805
2026,70,51.76991150442478
