date,year,movie_count,movies,movie_labels,combined_screen_share,threshold,combined_screen_count,best_aud,tier
2022-03-04,2022,3,더 배트맨 / 언차티드 / 극장판 주술회전 0,"더 배트맨 (<5M, 901,534명) / 언차티드 (<5M, 730,046명) / 극장판 주술회전 0 (<5M, 714,104명)",74.64338939748777,70% 이상,3506,901534,500만미만
2022-03-05,2022,3,더 배트맨 / 언차티드 / 극장판 주술회전 0,"더 배트맨 (<5M, 901,534명) / 언차티드 (<5M, 730,046명) / 극장판 주술회전 0 (<5M, 714,104명)",73.018263980418,70% 이상,3878,901534,500만미만
2022-03-06,2022,3,더 배트맨 / 언차티드 / 극장판 주술회전 0,"더 배트맨 (<5M, 901,534명) / 언차티드 (<5M, 730,046명) / 극장판 주술회전 0 (<5M, 714,104명)",72.13987077156975,70% 이상,3796,901534,500만미만
2022-03-07,2022,2,더 배트맨 / 언차티드,"더 배트맨 (<5M, 901,534명) / 언차티드 (<5M, 730,046명)",62.18547807332854,60% 이상,2595,901534,500만미만
2022-03-07,2022,3,더 배트맨 / 언차티드 / 극장판 주술회전 0,"더 배트맨 (<5M, 901,534명) / 언차티드 (<5M, 730,046명) / 극장판 주술회전 0 (<5M, 714,104명)",74.8622094416487,70% 이상,3124,901534,500만미만
2022-03-08,2022,2,더 배트맨 / 언차티드,"더 배트맨 (<5M, 901,534명) / 언차티드 (<5M, 730,046명)",61.20018323408154,60% 이상,2672,901534,500만미만
2022-03-08,2022,3,더 배트맨 / 언차티드 / 극장판 주술회전 0,"더 배트맨 (<5M, 901,534명) / 언차티드 (<5M, 730,046명) / 극장판 주술회전 0 (<5M, 714,104명)",73.36234539624371,70% 이상,3203,901534,500만미만
2022-03-09,2022,3,더 배트맨 / 이상한 나라의 수학자 / 극장판 주술회전 0,"더 배트맨 (<5M, 901,534명) / 이상한 나라의 수학자 (<5M, 526,009명) / 극장판 주술회전 0 (<5M, 714,104명)",64.34137996578598,60% 이상,3385,901534,500만미만
2022-03-10,2022,3,더 배트맨 / 이상한 나라의 수학자 / 극장판 주술회전 0,"더 배트맨 (<5M, 901,534명) / 이상한 나라의 수학자 (<5M, 526,009명) / 극장판 주술회전 0 (<5M, 714,104명)",69.45578231292518,60% 이상,3063,901534,500만미만
2022-03-11,2022,3,더 배트맨 / 이상한 나라의 수학자 / 극장판 주술회전 0,"더 배트맨 (<5M, 901,534명) / 이상한 나라의 수학자 (<5M, 526,009명) / 극장판 주술회전 0 (<5M, 714,104명)",67.54952627045651,60% 이상,3137,901534,500만미만
