date,year,quarter,rank,movie_cd,movie_nm,screen_count,show_count,audience_cnt,audience_acc,screen_share
2020-01-06,2020,2020Q1,4,20198414,시동,739,2785,35338,3073119,14.476003917727716
2020-01-06,2020,2020Q1,5,20197803,겨울왕국 2,571,1167,14574,13608501,11.18511263467189
2020-01-06,2020,2020Q1,6,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,423,621,8356,818655,8.285994123408424
2020-01-06,2020,2020Q1,7,20191408,21 브릿지: 테러 셧다운 ,204,621,7718,74084,3.9960822722820764
2020-01-06,2020,2020Q1,8,20192401,포드 V 페라리,193,395,5565,1294518,3.7806072477962784
2020-01-06,2020,2020Q1,9,20183002,해치지않아,24,25,5347,28679,0.4701273261508325
2020-01-06,2020,2020Q1,10,20198430,나이브스 아웃,160,310,4743,724543,3.1341821743388834
2020-01-07,2020,2020Q1,1,20192206,백두산,1171,5046,71911,7622974,21.818520588783304
2020-01-07,2020,2020Q1,2,20184571,천문: 하늘에 묻는다,873,3287,41623,1693893,16.26607043040805
2020-01-07,2020,2020Q1,3,20198414,시동,747,2787,35312,3108431,13.918390162101732
2020-01-07,2020,2020Q1,4,20196272,미드웨이,788,2804,35278,742112,14.682317868455375
2020-01-07,2020,2020Q1,5,20197803,겨울왕국 2,597,1185,14913,13623414,11.123532699832309
2020-01-07,2020,2020Q1,6,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,431,626,8370,827025,8.030557108254145
2020-01-07,2020,2020Q1,7,20198818,프린스 코기,198,234,7833,177351,3.6892118501956404
2020-01-07,2020,2020Q1,8,20192401,포드 V 페라리,196,401,5886,1300404,3.651947084032048
2020-01-07,2020,2020Q1,9,20191408,21 브릿지: 테러 셧다운 ,203,611,5664,79748,3.782373765604621
2020-01-07,2020,2020Q1,10,20198430,나이브스 아웃,163,310,5038,729581,3.037078442332774
2020-01-08,2020,2020Q1,1,20199581,닥터 두리틀,1016,4439,107984,108385,18.56385894390645
2020-01-08,2020,2020Q1,2,20195462,스타워즈: 라이즈 오브 스카이워커,957,3592,73090,74338,17.485839576100858
2020-01-08,2020,2020Q1,3,20192206,백두산,864,3374,56626,7679600,15.786588708203912
2020-01-08,2020,2020Q1,4,20184571,천문: 하늘에 묻는다,688,2051,28562,1722455,12.570802119495706
2020-01-08,2020,2020Q1,5,20198414,시동,590,1591,22536,3130967,10.78019367805591
2020-01-08,2020,2020Q1,6,20196272,미드웨이,577,1516,21496,763608,10.54266398684451
2020-01-08,2020,2020Q1,7,20197803,겨울왕국 2,384,593,8690,13632104,7.016261648090627
2020-01-08,2020,2020Q1,8,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,233,283,4645,831670,4.257262927096656
2020-01-08,2020,2020Q1,9,20191408,21 브릿지: 테러 셧다운 ,147,233,4201,83949,2.685912662159693
2020-01-08,2020,2020Q1,10,20183002,해치지않아,17,17,3476,36686,0.3106157500456788
2020-01-09,2020,2020Q1,1,20199581,닥터 두리틀,1085,4573,103493,211878,19.48285149937152
2020-01-09,2020,2020Q1,2,20192206,백두산,851,3230,51441,7731041,15.281019931765128
2020-01-09,2020,2020Q1,3,20195462,스타워즈: 라이즈 오브 스카이워커,947,3444,45219,119557,17.004848267193392
2020-01-09,2020,2020Q1,4,20184571,천문: 하늘에 묻는다,679,1957,26268,1748723,12.192494164122824
2020-01-09,2020,2020Q1,5,20198414,시동,600,1501,19667,3150634,10.773927096426647
2020-01-09,2020,2020Q1,6,20196272,미드웨이,577,1447,17616,781224,10.360926557730293
2020-01-09,2020,2020Q1,7,20197803,겨울왕국 2,379,568,9258,13641362,6.8055306159094995
2020-01-09,2020,2020Q1,8,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,226,268,4506,836176,4.0581792063207045
2020-01-09,2020,2020Q1,9,20198430,나이브스 아웃,96,151,2968,735633,1.7238283354282635
2020-01-09,2020,2020Q1,10,20192401,포드 V 페라리,129,189,2754,1306099,2.316394325731729
2020-01-10,2020,2020Q1,1,20199581,닥터 두리틀,1137,4944,129060,340938,19.576446280991735
2020-01-10,2020,2020Q1,2,20192206,백두산,881,3284,52933,7783974,15.168732782369146
2020-01-10,2020,2020Q1,3,20195462,스타워즈: 라이즈 오브 스카이워커,948,3407,48488,168045,16.32231404958678
2020-01-10,2020,2020Q1,4,20184571,천문: 하늘에 묻는다,685,1974,28698,1777421,11.794077134986226
2020-01-10,2020,2020Q1,5,20198414,시동,612,1542,20996,3171630,10.537190082644628
2020-01-10,2020,2020Q1,6,20196272,미드웨이,581,1440,20866,802090,10.0034435261708
2020-01-10,2020,2020Q1,7,20197803,겨울왕국 2,384,579,8906,13650268,6.6115702479338845
2020-01-10,2020,2020Q1,8,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,222,263,4116,840292,3.8223140495867765
2020-01-10,2020,2020Q1,9,20198430,나이브스 아웃,108,171,3771,739404,1.859504132231405
2020-01-10,2020,2020Q1,10,20196161,타발루가와 얼음공주,250,280,3744,11022,4.304407713498622
2020-01-11,2020,2020Q1,1,20199581,닥터 두리틀,1279,5982,307988,648926,21.575573549257758
2020-01-11,2020,2020Q1,2,20195462,스타워즈: 라이즈 오브 스카이워커,908,3403,115463,283508,15.317139001349528
2020-01-11,2020,2020Q1,3,20192206,백두산,877,3298,113154,7897128,14.794197031039136
