movie_count,threshold,tier,start_date,end_date,days,max_share,avg_share,representative_movies,representative_movie_labels
3,60% 이상,500만미만,2025-11-25,2025-11-25,1,62.55648805681085,62.55648805681085,위키드: 포 굿 / 나우 유 씨 미 3 / 극장판 체인소 맨: 레제편,"위키드: 포 굿 (<5M, 964,710명) / 나우 유 씨 미 3 (<5M, 1,367,031명) / 극장판 체인소 맨: 레제편 (<5M, 3,453,440명)"
3,70% 이상,500만+,2025-11-26,2025-12-02,7,76.18701109696198,72.9101831567323,주토피아 2 / 위키드: 포 굿 / 나우 유 씨 미 3,"주토피아 2 (5M+, 8,604,180명) / 위키드: 포 굿 (<5M, 964,710명) / 나우 유 씨 미 3 (<5M, 1,367,031명)"
3,60% 이상,500만+,2025-12-16,2025-12-16,1,61.288343558282214,61.288343558282214,주토피아 2 / 윗집 사람들 / 극장판 주술회전: 시부야사변 X 사멸회유,"주토피아 2 (5M+, 8,604,180명) / 윗집 사람들 (<5M, 545,602명) / 극장판 주술회전: 시부야사변 X 사멸회유 (<5M, 357,540명)"
3,70% 이상,500만+,2025-12-17,2025-12-30,14,83.10502283105023,77.06274459124856,아바타: 불과 재 / 주토피아 2 / 윗집 사람들,"아바타: 불과 재 (5M+, 6,731,026명) / 주토피아 2 (5M+, 8,604,180명) / 윗집 사람들 (<5M, 545,602명)"
3,60% 이상,500만+,2025-12-31,2025-12-31,1,61.04539641943734,61.04539641943734,아바타: 불과 재 / 주토피아 2 / 만약에 우리,"아바타: 불과 재 (5M+, 6,731,026명) / 주토피아 2 (5M+, 8,604,180명) / 만약에 우리 (<5M, 2,594,460명)"
3,60% 이상,1000만+,2026-02-04,2026-02-07,4,68.70554765291607,64.84102621012413,왕과 사는 남자 / 만약에 우리 / 신의악단,"왕과 사는 남자 (10M+, 16,883,801명) / 만약에 우리 (<5M, 2,594,460명) / 신의악단 (<5M, 1,438,794명)"
3,60% 이상,1000만+,2026-02-09,2026-02-22,14,69.65983519966194,66.03571618578651,왕과 사는 남자 / 휴민트 / 넘버원,"왕과 사는 남자 (10M+, 16,883,801명) / 휴민트 (<5M, 1,979,498명) / 넘버원 (<5M, 278,409명)"
3,70% 이상,1000만+,2026-02-23,2026-02-23,1,70.43285238623751,70.43285238623751,왕과 사는 남자 / 휴민트 / 넘버원,"왕과 사는 남자 (10M+, 16,883,801명) / 휴민트 (<5M, 1,979,498명) / 넘버원 (<5M, 278,409명)"
3,60% 이상,1000만+,2026-02-24,2026-03-06,11,68.52739012705686,65.62994228448939,왕과 사는 남자 / 호퍼스 / 휴민트,"왕과 사는 남자 (10M+, 16,883,801명) / 호퍼스 (<5M, 754,046명) / 휴민트 (<5M, 1,979,498명)"
3,70% 이상,1000만+,2026-03-07,2026-03-09,3,72.30439859867653,71.6308503092751,왕과 사는 남자 / 호퍼스 / 휴민트,"왕과 사는 남자 (10M+, 16,883,801명) / 호퍼스 (<5M, 754,046명) / 휴민트 (<5M, 1,979,498명)"
3,60% 이상,1000만+,2026-03-10,2026-03-10,1,67.61463844797179,67.61463844797179,왕과 사는 남자 / 호퍼스 / 휴민트,"왕과 사는 남자 (10M+, 16,883,801명) / 호퍼스 (<5M, 754,046명) / 휴민트 (<5M, 1,979,498명)"
3,70% 이상,1000만+,2026-03-11,2026-04-03,24,81.6022356776898,75.23480357346055,왕과 사는 남자 / 호퍼스 / 휴민트,"왕과 사는 남자 (10M+, 16,883,801명) / 호퍼스 (<5M, 754,046명) / 휴민트 (<5M, 1,979,498명)"
3,60% 이상,1000만+,2026-04-04,2026-04-05,2,67.38920069672925,66.89187925992925,프로젝트 헤일메리 / 왕과 사는 남자 / 끝장수사,"프로젝트 헤일메리 (<5M, 2,883,508명) / 왕과 사는 남자 (10M+, 16,883,801명) / 끝장수사 (<5M, 85,189명)"
3,70% 이상,1000만+,2026-04-06,2026-04-14,9,77.86295005807202,73.83065182039269,살목지 / 프로젝트 헤일메리 / 왕과 사는 남자,"살목지 (<5M, 3,230,647명) / 프로젝트 헤일메리 (<5M, 2,883,508명) / 왕과 사는 남자 (10M+, 16,883,801명)"
3,60% 이상,1000만+,2026-04-15,2026-04-21,7,66.76970633693972,64.27532260499038,살목지 / 프로젝트 헤일메리 / 왕과 사는 남자,"살목지 (<5M, 3,230,647명) / 프로젝트 헤일메리 (<5M, 2,883,508명) / 왕과 사는 남자 (10M+, 16,883,801명)"
3,60% 이상,500만미만,2026-04-29,2026-05-05,7,69.8779495524817,66.36643328864703,슈퍼 마리오 갤럭시 / 악마는 프라다를 입는다 2 / 살목지,"슈퍼 마리오 갤럭시 (<5M, 1,576,909명) / 악마는 프라다를 입는다 2 (<5M, 1,558,581명) / 살목지 (<5M, 3,230,647명)"
3,60% 이상,500만미만,2026-05-09,2026-05-10,2,61.64522681110358,61.10071115114995,슈퍼 마리오 갤럭시 / 악마는 프라다를 입는다 2 / 살목지,"슈퍼 마리오 갤럭시 (<5M, 1,576,909명) / 악마는 프라다를 입는다 2 (<5M, 1,558,581명) / 살목지 (<5M, 3,230,647명)"
3,60% 이상,500만미만,2026-05-13,2026-05-15,3,61.50815981992122,60.99448108064265,마이클 / 악마는 프라다를 입는다 2 / 살목지,"마이클 (<5M, 1,184,600명) / 악마는 프라다를 입는다 2 (<5M, 1,558,581명) / 살목지 (<5M, 3,230,647명)"
3,60% 이상,500만미만,2026-05-18,2026-05-20,3,64.86606154527341,63.44107803617473,마이클 / 악마는 프라다를 입는다 2 / 살목지,"마이클 (<5M, 1,184,600명) / 악마는 프라다를 입는다 2 (<5M, 1,558,581명) / 살목지 (<5M, 3,230,647명)"
3,70% 이상,500만미만,2026-05-21,2026-05-21,1,71.19254395255243,71.19254395255243,군체 / 마이클 / 악마는 프라다를 입는다 2,"군체 (<5M, 2,018,610명) / 마이클 (<5M, 1,184,600명) / 악마는 프라다를 입는다 2 (<5M, 1,558,581명)"
3,60% 이상,500만미만,2026-05-22,2026-05-25,4,68.0363492690636,65.49978252467312,군체 / 마이클 / 악마는 프라다를 입는다 2,"군체 (<5M, 2,018,610명) / 마이클 (<5M, 1,184,600명) / 악마는 프라다를 입는다 2 (<5M, 1,558,581명)"
