movie_nm,threshold,tier,start_date,end_date,days,max_share,avg_share
아바타: 물의 길,50% 이상,1000만+,2022-12-14,2022-12-20,7,56.8177028451001,55.066964369952096
아바타: 물의 길,40% 이상,1000만+,2022-12-21,2022-12-23,3,44.02163028239535,42.71487752224463
앤트맨과 와스프: 퀀텀매니아,40% 이상,500만미만,2023-02-15,2023-02-16,2,40.86499595796281,40.44782071408962
범죄도시3,40% 이상,1000만+,2023-05-31,2023-06-13,14,46.058091286307054,43.870042303846155
미션 임파서블: 데드 레코닝 PART ONE,40% 이상,500만미만,2023-07-12,2023-07-18,7,47.12328767123288,44.60523422386036
서울의 봄,40% 이상,1000만+,2023-11-22,2023-12-08,17,48.949771689497716,44.4039025638816
서울의 봄,40% 이상,1000만+,2023-12-11,2023-12-12,2,42.45976554738725,42.22317954395566
파묘,40% 이상,1000만+,2024-02-24,2024-02-27,4,42.92575545327196,42.43677222097172
파묘,40% 이상,1000만+,2024-03-01,2024-03-05,5,43.58766233766234,42.27662028433346
범죄도시4,50% 이상,1000만+,2024-04-24,2024-04-30,7,62.18166383701188,60.889987061940744
범죄도시4,40% 이상,1000만+,2024-05-01,2024-05-01,1,48.851925510757546,48.851925510757546
범죄도시4,50% 이상,1000만+,2024-05-02,2024-05-03,2,54.19551934826884,53.49799304636312
범죄도시4,40% 이상,1000만+,2024-05-04,2024-05-06,3,48.63406994953889,47.268425460941785
범죄도시4,50% 이상,1000만+,2024-05-07,2024-05-07,1,55.19828510182207,55.19828510182207
범죄도시4,40% 이상,1000만+,2024-05-08,2024-05-10,3,42.4306584797798,41.41102315414383
범죄도시4,40% 이상,1000만+,2024-05-13,2024-05-14,2,42.81256964564297,42.41845650763891
인사이드 아웃 2,40% 이상,500만+,2024-06-13,2024-06-21,9,45.555748825882766,43.22258240461601
인사이드 아웃 2,50% 이상,500만+,2024-06-22,2024-06-22,1,50.74752579490419,50.74752579490419
인사이드 아웃 2,40% 이상,500만+,2024-06-23,2024-06-24,2,49.79140592407176,45.245464488268
베테랑2,50% 이상,500만+,2024-09-13,2024-09-13,1,53.704445334401285,53.704445334401285
베테랑2,40% 이상,500만+,2024-09-14,2024-09-17,4,49.28874930722335,48.99430159775555
베테랑2,50% 이상,500만+,2024-09-18,2024-09-24,7,55.83802024746907,53.38978961927443
베테랑2,40% 이상,500만+,2024-09-25,2024-09-27,3,45.2991452991453,44.32830781535892
베테랑2,40% 이상,500만+,2024-09-30,2024-09-30,1,43.74277122368726,43.74277122368726
야당,40% 이상,500만미만,2025-04-16,2025-04-25,10,47.15359828141783,43.84214034465865
미션 임파서블: 파이널 레코닝,40% 이상,500만미만,2025-05-17,2025-05-20,4,42.513422151521176,42.19595964558225
미션 임파서블: 파이널 레코닝,40% 이상,500만미만,2025-05-26,2025-05-27,2,40.946771378708554,40.72710397456862
미션 임파서블: 파이널 레코닝,40% 이상,500만미만,2025-05-29,2025-05-29,1,40.442439862542955,40.442439862542955
