date,movie_nm,movie_cd,rank,scrn_cnt,show_cnt,screen_audi_cnt,SS_screen_share_pct,open_date,seat_sales_rate_pct,seat_share_pct_from_kobis,seat_share_pct,seat_share_recalc_vs_kobis_gap_p,audience_share_pct,seats_cnt,audi_cnt,audi_acc,total_seats_cnt,total_audi_cnt,screen_share,seat_share,audience_share,seat_sales_rate,SOI_seat_overallocation,ScOI_screen_overallocation,StEI_seat_efficiency,ScEI_screen_efficiency,MII,MII_pct,screen_minus_audience_share_p,seat_minus_audience_share_p,has_seat_data,over_30_period_start,over_30_period_end,is_in_peak_over_30_period
2022-08-30,공조2: 인터내셔날,20215601,8,7.0,9.0,2265.0,0.1475859160868648,,,,,,,,,,,,0.001475859160868648,,,,,,,,,,,,False,2022-09-07,2022-09-27,False
2022-09-02,공조2: 인터내셔날,20215601,9,10.0,10.0,1990.0,0.2075119319360863,,,,,,,,,,,,0.002075119319360863,,,,,,,,,,,,False,2022-09-07,2022-09-27,False
2022-09-05,공조2: 인터내셔날,20215601,8,5.0,5.0,1162.0,0.1144426642252231,,,,,,,,,,,,0.001144426642252231,,,,,,,,,,,,False,2022-09-07,2022-09-27,False
2022-09-06,공조2: 인터내셔날,20215601,5,14.0,14.0,3251.0,0.3169572107765451,,,,,,,,,,,,0.003169572107765451,,,,,,,,,,,,False,2022-09-07,2022-09-27,False
2022-09-07,공조2: 인터내셔날,20215601,1,2166.0,10151.0,216237.0,47.64628244610647,2022-09-07,13.3,66.21,67.5013884064422,1.2913884064422092,78.71550415533642,1622622.0,216237.0,227335.0,2403835.0,274707.0,0.4764628244610647,0.675013884064422,0.7871550415533641,0.133,0.8575361249447836,0.6052973039730745,1.1661316309728522,1.6520807104808832,0.4130932688077431,41.30932688077431,-31.06922170922995,-11.214115748894216,True,2022-09-07,2022-09-27,True
2022-09-08,공조2: 인터내셔날,20215601,1,2187.0,10359.0,285121.0,43.65269461077844,2022-09-07,17.2,64.32,66.18152787767522,1.861527877675229,77.45453853969151,1657157.0,285121.0,512456.0,2503957.0,368114.0,0.4365269461077844,0.6618152787767522,0.7745453853969151,0.172,0.8544564221212234,0.5635911779192727,1.1703346994776616,1.7743357937076107,0.36144431137724553,36.14443113772455,-33.80184392891307,-11.27301066201629,True,2022-09-07,2022-09-27,True
2022-09-09,공조2: 인터내셔날,20215601,1,2325.0,11315.0,532726.0,38.57000663570007,2022-09-07,29.7,64.25,66.37099988490608,2.120999884906084,75.0629133753977,1793438.0,532726.0,1045182.0,2702141.0,709706.0,0.38570006635700066,0.6637099988490608,0.750629133753977,0.297,0.8842049542225676,0.5138357266098548,1.1309595080014503,1.9461472766748273,0.2711471466489715,27.11471466489715,-36.49290673969763,-8.691913490491615,True,2022-09-07,2022-09-27,True
2022-09-10,공조2: 인터내셔날,20215601,1,2379.0,11441.0,713384.0,39.77595719779301,2022-09-07,39.4,65.45,67.25512850041979,1.8051285004197837,76.97712862612059,1810387.0,713384.0,1758566.0,2691820.0,926748.0,0.3977595719779301,0.6725512850041979,0.7697712862612058,0.39399999999999996,0.8737027439290346,0.5167243557626787,1.1445540339074678,1.935267786098475,0.2410423006186257,24.10423006186257,-37.20117142832758,-9.722000125700802,True,2022-09-07,2022-09-27,True
2022-09-11,공조2: 인터내셔날,20215601,1,2389.0,11568.0,852525.0,41.04105823741625,2022-09-07,46.7,64.82,66.8903042578793,2.0703042578793003,77.8755799391081,1823920.0,852525.0,2611091.0,2726733.0,1094727.0,0.4104105823741625,0.668903042578793,0.7787557993910811,0.467,0.8589381203989962,0.5270080591310751,1.1642282211615864,1.8975041893074438,0.21874884040542858,21.87488404054286,-36.834521701691855,-10.985275681228813,True,2022-09-07,2022-09-27,True
2022-09-12,공조2: 인터내셔날,20215601,1,2328.0,11034.0,733293.0,38.62618218018915,2022-09-07,42.1,64.78,66.82107568035033,2.041075680350332,76.90112662851462,1743132.0,733293.0,3344384.0,2608656.0,953553.0,0.38626182180189145,0.6682107568035033,0.7690112662851462,0.42100000000000004,0.8689219340458056,0.5022836969187746,1.1508513720489009,1.9909067448026532,0.22364559482329513,22.36455948232951,-38.27494444832547,-10.080050948164285,True,2022-09-07,2022-09-27,True
